Model,Repeat,Fold,Log loss,Brier,Macro AUC,Accuracy
E Full composition (Correct + DK),2,4,0.9754526934886324,0.5820618736860941,0.6332712084612435,0.5478529902369611
A Demographics,2,5,0.9382677865487579,0.5557029949738822,0.6659042220562413,0.5738358488363822
B Demographics + Correct,2,5,0.9374641351365803,0.5558832628219634,0.6662128209368622,0.5737597554265854
C Demographics + DK,2,5,0.9359218085155747,0.5552112030715978,0.6712516337451732,0.5635823701923738
D Demographics + Incorrect,2,5,0.9397477978798584,0.5576457162826886,0.6706546097077603,0.5887332176606409
E Full composition (Correct + DK),2,5,0.937601994269798,0.5567215795971816,0.6708498840347996,0.5895373340009538
A Demographics,3,1,0.9733130433439849,0.5812521842858398,0.630249099041929,0.5534037475462404
B Demographics + Correct,3,1,0.9870902339197171,0.5872651061460136,0.6122777830713875,0.5544672982337276
C Demographics + DK,3,1,0.973576878805995,0.5786847439288786,0.6327664647941028,0.5355174286292312
D Demographics + Incorrect,3,1,0.9612183118034675,0.5745973787933107,0.6450534541555805,0.5570890354026586
E Full composition (Correct + DK),3,1,0.9734439961251841,0.579421626337514,0.6247873301718432,0.5513221307423917
A Demographics,3,2,0.9753430591629951,0.5818514571516494,0.6312204633127161,0.5327280711400123
B Demographics + Correct,3,2,0.9737155568713349,0.5815656072984738,0.6389005278754406,0.5350978574933151
C Demographics + DK,3,2,0.9686034150927634,0.5779282558763833,0.6409020145007082,0.52910412337816
D Demographics + Incorrect,3,2,0.9759387161755234,0.5832929829649217,0.6364429790644298,0.5408061419033394
E Full composition (Correct + DK),3,2,0.9709647637620745,0.5805612039886483,0.6484827383925996,0.5332098726258828
A Demographics,3,3,0.9953117892161663,0.5934222345333378,0.6098402830935433,0.5311126027140444
B Demographics + Correct,3,3,0.9903770009988151,0.5907837287558834,0.6185317241136946,0.5279556280596376
C Demographics + DK,3,3,0.9813136182765123,0.5836635402026074,0.6243541814055811,0.5444418646857531
D Demographics + Incorrect,3,3,0.9726034748095722,0.5783759671042078,0.631868480657475,0.5534068598686509
E Full composition (Correct + DK),3,3,0.9670581175754426,0.57454435792803,0.6419279249080156,0.5590559135106632
A Demographics,3,4,0.9790545979788491,0.5807716985875379,0.6107909083185282,0.5609194464817543
B Demographics + Correct,3,4,0.9760879557987435,0.5788881345628052,0.6273181804005682,0.5609194464817543
C Demographics + DK,3,4,0.9822413112984095,0.5851794067247281,0.6113534618917045,0.5409115671903367
D Demographics + Incorrect,3,4,0.9559412927062563,0.5670204829594927,0.6462465761923567,0.5599000026586615
E Full composition (Correct + DK),3,4,0.961017646523578,0.5715361060429788,0.6457920770297046,0.5576783531249737
A Demographics,3,5,1.015803393097084,0.6090278934254723,0.5931147866647272,0.5118380435925066
B Demographics + Correct,3,5,1.0143751141566926,0.6080159864231127,0.5992761692205368,0.516472790968999
C Demographics + DK,3,5,1.004283368743652,0.6030617916666285,0.6029197340920364,0.5059455029074897
D Demographics + Incorrect,3,5,0.9990979792301304,0.5967820277989293,0.6203686592833447,0.5312120260501184
E Full composition (Correct + DK),3,5,0.9954287553173825,0.5953780596413963,0.6199701011162304,0.5237523935407978
A Demographics,4,1,1.0029210256060532,0.6010471464444518,0.6090420202007351,0.5067435834256309
B Demographics + Correct,4,1,1.0029111136618207,0.5995244024429589,0.6108486816148909,0.5122650475480247
C Demographics + DK,4,1,0.9956488005669445,0.5965552771757323,0.6152892247836282,0.5299546719455838
D Demographics + Incorrect,4,1,0.9824394708370244,0.5870573757609461,0.6343399492964883,0.5435954184360239
E Full composition (Correct + DK),4,1,0.9833278616952853,0.587224580869051,0.6313749481507758,0.5454162635740283
A Demographics,4,2,0.966913924141121,0.5723205803842735,0.6241469739295735,0.5597320061538412
B Demographics + Correct,4,2,0.9627591641814395,0.5697908184677268,0.6397335827978815,0.5581682231513618
C Demographics + DK,4,2,0.9571693776768588,0.5668808355559355,0.6358613609031011,0.5491784936718889
D Demographics + Incorrect,4,2,0.9457559644537263,0.5606654155905201,0.6461796343375111,0.5644979010482695
E Full composition (Correct + DK),4,2,0.9427749446178872,0.5588692983826787,0.6548452847133492,0.5602284185256711
A Demographics,4,3,0.9917537121647112,0.5937439171321395,0.6084559903925237,0.5434249259657631
B Demographics + Correct,4,3,0.9884287656075089,0.5926142128604919,0.6161765840501378,0.5445292297719392
C Demographics + DK,4,3,0.985098010694544,0.5894671165938488,0.620113437779041,0.528046928066445
D Demographics + Incorrect,4,3,0.982542117888304,0.5875868622725688,0.629073119936169,0.5482786051061216
E Full composition (Correct + DK),4,3,0.9792833286728101,0.5858875029406796,0.6340462947076361,0.5482837351683146
A Demographics,4,4,0.9701817219140211,0.5780491653269908,0.6476059950529919,0.5497076239091354
B Demographics + Correct,4,4,0.9677317496549647,0.5760246222995128,0.6540767967624416,0.5508611254189996
C Demographics + DK,4,4,0.9651872319616969,0.5744881270596773,0.6583250347889354,0.5353237770878005
D Demographics + Incorrect,4,4,0.9527043572636178,0.565182989969173,0.6709343693577505,0.5513116755741649
E Full composition (Correct + DK),4,4,0.9521334237707082,0.564878066787049,0.6719651849820311,0.5564309218522315
A Demographics,4,5,1.0052762857592683,0.6021883951106907,0.6014714492422012,0.5354349932045611
B Demographics + Correct,4,5,1.0079367443289164,0.604099516634826,0.5998654502204862,0.5337200630797773
C Demographics + DK,4,5,0.992603159015876,0.5948496888699507,0.6167823890487841,0.5253922224030257
D Demographics + Incorrect,4,5,0.9950724518114706,0.5974247967194667,0.617000689779353,0.5425324599512246
E Full composition (Correct + DK),4,5,0.9921689976071152,0.5958628496994891,0.621520633632341,0.5404061877669873
