Model,Repeat,Fold,Log loss,Brier,Macro AUC,Accuracy
A Demographics,5,4,0.9619707015930639,0.5737331129256337,0.6547276889807169,0.5557222129969791
A Demographics,5,5,1.0319743994369772,0.6245547408076645,0.5972956784950029,0.5039792740419864
A Demographics,6,1,0.9862032088058936,0.5896319627699036,0.6217381041191375,0.5258750720004347
A Demographics,6,2,0.9688091054177412,0.5746606024327784,0.6189090047408571,0.559193212274735
A Demographics,6,3,0.956905247988674,0.5647037563505126,0.6456747798452476,0.5733739993915651
A Demographics,6,4,1.0058169469688085,0.6059099246480378,0.6042362170263935,0.5153563824415572
A Demographics,6,5,1.0059906812882673,0.6027414417586249,0.6084885222638198,0.5275540365243849
A Demographics,7,1,1.0440698392103542,0.6283837391538272,0.5712857019501533,0.5146919922848103
A Demographics,7,2,0.9554532624856911,0.5685431688626192,0.6535209143760664,0.5403918491934097
A Demographics,7,3,0.9845297064691213,0.5864257064782239,0.6204739196192447,0.5365948386007964
A Demographics,7,4,0.9710757140110955,0.5783027100454811,0.6325479311163439,0.5597735720226134
A Demographics,7,5,0.983356491610007,0.5825437973086753,0.6087639436364563,0.5402019690042148
A Demographics,8,1,0.9757892081432906,0.5811656645344495,0.6258743245764684,0.5397946684656003
A Demographics,8,2,1.011210681143167,0.6048681021267448,0.6046110498252071,0.5304157276142278
A Demographics,8,3,1.0083057472804298,0.6076252931235858,0.5992459921292069,0.5164977461845892
A Demographics,8,4,0.95362957111754,0.567715717482494,0.6570651853045689,0.5632396156222413
A Demographics,8,5,0.9668508687273628,0.5720273872720928,0.6355984277985341,0.5465665962297297
A Demographics,9,1,0.9526101037741133,0.5607980709002967,0.6449097666448735,0.5631352335205901
A Demographics,9,2,1.0119587461038806,0.6054275892999895,0.6014687825880989,0.5280912177293945
A Demographics,9,3,0.9707045448598981,0.5798600292698098,0.642742045726232,0.5283819591558507
A Demographics,9,4,0.9988597803931809,0.5969005817462595,0.5996907363937425,0.5461552433862622
A Demographics,9,5,1.0038576941258206,0.6017736916042158,0.602486333482806,0.5281981397138826
A Demographics,10,1,0.9423910299982703,0.5602388732219328,0.6493982829160561,0.563645384661598
A Demographics,10,2,0.9996502345746122,0.5985393586320003,0.6131859333244275,0.5356667277020685
A Demographics,10,3,1.037001713967091,0.6245413037610705,0.578943191860995,0.4945674777456253
A Demographics,10,4,0.9610391065760807,0.5690642446892309,0.6361477284295275,0.555697407207612
A Demographics,10,5,1.0021937851385423,0.597323031958141,0.6040821362375337,0.5417640033224467
B + Correct,1,1,0.9812743007569918,0.5866101568778864,0.6371775026217711,0.525275671827148
B + Correct,1,2,0.9864826929174882,0.5860382210594599,0.6231672735066306,0.5559340499932007
B + Correct,1,3,1.0205291574082678,0.6095981859813,0.5985015135454299,0.5287533771077287
B + Correct,1,4,0.9917206640811367,0.5917139606535657,0.6193438560531115,0.5169870654869847
B + Correct,1,5,0.9481671453472681,0.5644287950151752,0.6497478718085742,0.5630888028842072
B + Correct,2,1,1.0608618423340677,0.6371892370757344,0.5635998774777383,0.47603881061095227
B + Correct,2,2,0.9938818343563286,0.5960610874382533,0.6313624151418801,0.5372363972138763
B + Correct,2,3,0.9670473484289577,0.5758870205568817,0.6253090335342383,0.5448665536495767
B + Correct,2,4,0.9764963269612597,0.579560369594183,0.6349347717916329,0.5653513486684143
B + Correct,2,5,0.9374641351365803,0.5558832628219634,0.6662128209368622,0.5737597554265854
B + Correct,3,1,0.9870902339197171,0.5872651061460136,0.6122777830713875,0.5544672982337276
B + Correct,3,2,0.9737155568713349,0.5815656072984738,0.6389005278754406,0.5350978574933151
B + Correct,3,3,0.9903770009988151,0.5907837287558834,0.6185317241136946,0.5279556280596376
B + Correct,3,4,0.9760879557987435,0.5788881345628052,0.6273181804005682,0.5609194464817543
B + Correct,3,5,1.0143751141566926,0.6080159864231127,0.5992761692205368,0.516472790968999
B + Correct,4,1,1.0029111136618207,0.5995244024429589,0.6108486816148909,0.5122650475480247
B + Correct,4,2,0.9627591641814395,0.5697908184677268,0.6397335827978815,0.5581682231513618
B + Correct,4,3,0.9884287656075089,0.5926142128604919,0.6161765840501378,0.5445292297719392
B + Correct,4,4,0.9677317496549647,0.5760246222995128,0.6540767967624416,0.5508611254189996
B + Correct,4,5,1.0079367443289164,0.604099516634826,0.5998654502204862,0.5337200630797773
B + Correct,5,1,1.0029480849588972,0.5974990779091085,0.6110968187049205,0.524068793211251
B + Correct,5,2,0.951634643612216,0.564897397060465,0.6548922154543014,0.557934175986416
B + Correct,5,3,0.9706298083424322,0.5748168147831729,0.6321549748129563,0.5523470067254429
B + Correct,5,4,0.9596188085630126,0.5729596719058835,0.6637450573130855,0.5529451877485113
B + Correct,5,5,1.0323665307779983,0.6246336228668391,0.5931235715474527,0.5089416825146464
B + Correct,6,1,0.9822768163401836,0.5874588696675995,0.6314419133888816,0.5302949423255727
B + Correct,6,2,0.9703652200176689,0.575073536374206,0.6221761099642075,0.560266780248361
B + Correct,6,3,0.9532027483509959,0.5625753085935236,0.6544323894661565,0.5695035266277492
B + Correct,6,4,1.0045472005764229,0.6053989744330689,0.610883920006271,0.5131465378419675
B + Correct,6,5,1.007265005743757,0.6031431381000087,0.6076245692401959,0.5275540365243849
B + Correct,7,1,1.0438839345399855,0.6276629165795586,0.5745292448569977,0.5163063671148211
B + Correct,7,2,0.9570817937576804,0.5687332993142212,0.6470281432995186,0.5403918491934097
B + Correct,7,3,0.9809622118276,0.5844865093700268,0.6313889890634542,0.5371975222479493
B + Correct,7,4,0.9685424671476223,0.5764048644562114,0.6443840266293662,0.5533511004027762
B + Correct,7,5,0.9841594407209779,0.5833485656819891,0.6109276143967801,0.5469988472751072
B + Correct,8,1,0.9698702843504718,0.5774810968019751,0.6430376654606991,0.5480254991163908
B + Correct,8,2,1.0102286280260915,0.6047850170409925,0.6090144594242967,0.5348694789303801
B + Correct,8,3,1.0097780776564076,0.6080900298618243,0.5977957122153618,0.5130755336129311
B + Correct,8,4,0.9586468121004171,0.5704257312520646,0.6465575407631966,0.5653576870831258
B + Correct,8,5,0.9625223959282388,0.569278042699617,0.647393020297301,0.5476571638330066
B + Correct,9,1,0.9524453975808701,0.5602161855568986,0.6488909136898986,0.5692024764942181
B + Correct,9,2,1.005220316199729,0.601425822703565,0.6189427522733144,0.5303497845347197
B + Correct,9,3,0.9802557567549607,0.5874398302862355,0.6180583367685745,0.526205826691366
B + Correct,9,4,1.0005978644969837,0.5978142800666927,0.60685987140966,0.5461552433862622
B + Correct,9,5,1.0008132466967965,0.5990116492340493,0.6157887820727681,0.5303758315873481
B + Correct,10,1,0.9400369978498302,0.5584839297944415,0.6591744089267392,0.560388863666498
B + Correct,10,2,0.9942913638054331,0.5954545702031669,0.6291014376667134,0.5357475003512021
B + Correct,10,3,1.0343342104009572,0.6226510686072771,0.5862416366048532,0.49236004628971053
B + Correct,10,4,0.9609781483542355,0.5689571305128355,0.6355191382364033,0.5605343240080615
B + Correct,10,5,1.0030499962327017,0.5980176048356648,0.6059036884996573,0.5521845571985219
C + Quiz DK,1,1,0.9485847051714782,0.5640873519026921,0.6754467124914125,0.5353645760889257
C + Quiz DK,1,2,0.9752698415938835,0.5818573613736442,0.6348804901242974,0.5387787714150298
C + Quiz DK,1,3,0.9967877375027271,0.5948798295979472,0.6302745930432542,0.5524387084727111
C + Quiz DK,1,4,0.9796898334327327,0.5834832890317689,0.6284184293207823,0.5389827378167373
C + Quiz DK,1,5,0.9606043684235931,0.5737900251266809,0.6391031996600419,0.5581443912209499
