label,ndk_yes,ndk_yes_se,ndk_yes_lo,ndk_yes_hi,ndk_yes_p,ndk_dk,ndk_dk_se,ndk_dk_lo,ndk_dk_hi,ndk_dk_p,idx_yes,idx_yes_se,idx_yes_p,idx_dk,idx_dk_se,idx_dk_p
No non-quiz control (primary),-0.046669643019905664,0.0063719112188384336,-0.05915858900882899,-0.03418069703098234,2.402522625288839e-13,0.03765857081146729,0.005394143539610304,0.027086049473831093,0.04823109214910349,2.922995179233112e-12,,,,,,
30-item (as previously analyzed),-0.0422932594056395,0.00700398648548311,-0.056021072917186394,-0.028565445894092607,1.555965134514281e-09,0.02659829829581096,0.005792351892978117,0.015245288585573849,0.03795130800604807,4.390843402868327e-06,-0.22501408964039515,0.1861585495041327,0.22676934592789144,0.643793843627079,0.13669237609201,2.47959181343127e-06
"rule-derived, item-weighted",-0.041145500792108214,0.006788255371017086,-0.054450481319301705,-0.027840520264914726,1.3504444229539558e-09,0.02973663989842751,0.005741703957186059,0.018482900142342835,0.04099037965451219,2.230045341722331e-07,-0.5311267941030225,0.2667205631307513,0.04644538755429628,0.7361806604576292,0.18285174984777888,5.6707957427182265e-05
"rule-derived, battery-balanced",-0.04170228935107503,0.007039347406849996,-0.05549941026850102,-0.027905168433649034,3.1387898946633186e-09,0.025539439244341194,0.005880279417154594,0.014014091586718189,0.0370647869019642,1.4039938833976251e-05,-0.27867419435577623,0.21175392596108655,0.188164488544873,0.7636924772642812,0.1520755405876495,5.119029959921306e-07
sub-index: factual,-0.045623572824721424,0.006760874013876131,-0.05887488589191864,-0.03237225975752421,1.4971357487070236e-11,0.03005166969887131,0.005583654324646003,0.019107707222565145,0.040995632175177474,7.363036069740758e-08,-0.008992616735809384,0.10659588401273755,0.9327688073413327,0.3510983060471391,0.07901923905264194,8.863058671426671e-06
sub-index: recollection,-0.04470343064057123,0.00652290335752571,-0.05748832122132162,-0.03191854005982084,7.2164496600635175e-12,0.033667206918522215,0.005574432055175521,0.022741320090378193,0.044593093746666236,1.5451957491308121e-09,-0.19011302175945013,0.14506290075650333,0.19000789026228837,0.43708242680397713,0.11906683654349591,0.0002416980830708404
sub-index: attitudinal,-0.04032843172494309,0.006690342501228325,-0.05344150302735061,-0.027215360422535573,1.6614736253472984e-09,0.03607121789075251,0.0057365132504669835,0.02482765191983722,0.0473147838616678,3.215736565920224e-10,-0.6769532966359944,0.19607701095150795,0.000555444604305011,0.2211443427124814,0.1451996780053042,0.1277496888210503
sub-index: behavioral_self-report,-0.04612134621395226,0.0063390853469061596,-0.05854595349388833,-0.03369673893401619,3.446132268436486e-13,0.037426976392005866,0.005413715521180694,0.026816093970491707,0.048037858813520025,4.733102798581967e-12,-0.4903798860104933,0.2610305826228112,0.06029503054167251,0.20590129774190985,0.18461817782597092,0.2647296726400514
